number,value,state,params_cnn_dropout,params_cnn_first,params_head_dropout,params_head_hidden,params_kernel_size,params_lr,params_lstm_hidden,params_lstm_layers,params_n_cnn_blocks
0,0.5444979134219068,COMPLETE,0.3598528437324806,8,0.17272998688284025,16,3,0.0004576418837415782,32,2,2
1,0.6046464813835004,COMPLETE,0.20990855298810754,8,0.34301794076057535,16,3,0.00044426835359925567,32,2,2
2,0.6262486825122029,COMPLETE,0.23204574812188042,16,0.2246844304357644,32,7,0.0009935489664217143,32,2,2
3,0.6112000954343418,COMPLETE,0.37656227050693514,16,0.43149500366077176,16,3,0.0006821416720689545,32,1,3
4,0.6182805401373287,COMPLETE,0.15961470446025172,24,0.24338629141770907,16,5,0.0003917331404699168,32,2,2
5,0.594090046608636,COMPLETE,0.29126724140656396,8,0.40838687198182444,16,7,0.0009352266009013888,16,2,3
6,0.5926896650891819,COMPLETE,0.25257120734941085,8,0.21590058116550723,16,5,0.00043485307149764056,16,2,3
7,0.6275384137029161,COMPLETE,0.26180267257469525,24,0.42720590636899725,32,7,0.0021769669610358544,32,1,3
8,0.5851000339757705,COMPLETE,0.1969608796062266,8,0.2988994023569542,16,7,0.0005997904748501453,32,2,2
9,0.617573529885327,COMPLETE,0.17186856720009175,16,0.19505501759695987,32,7,0.0016044921747033279,48,1,2
10,0.667445757932692,COMPLETE,0.10538856268444591,24,0.489666473399276,32,7,0.002794947248789298,48,1,3
11,0.6300722147421175,COMPLETE,0.12163968388197932,24,0.4979349967818157,32,7,0.0029925280315305468,48,1,3
12,0.6697238506325618,COMPLETE,0.10382179541833388,24,0.49795880412672494,32,7,0.0029455020948035288,48,1,3
13,0.6634600778097344,COMPLETE,0.10056389127474749,24,0.49900109198258674,32,7,0.0029926752717245888,48,1,3
14,0.6663436228439368,COMPLETE,0.13961032391185835,24,0.3713162115675366,32,7,0.0017079494337979484,48,1,3
15,0.6435101947934736,COMPLETE,0.10329675677313141,24,0.10620415279769091,32,5,0.002015983188353612,48,1,3
16,0.6195668844555332,COMPLETE,0.30198153722939813,24,0.4611233946584511,32,7,0.0012510370235057258,48,1,3
17,0.6363756881818677,COMPLETE,0.15612980968391243,24,0.317526589525706,32,7,0.0023448123039868044,48,1,3
18,0.6222336295530391,COMPLETE,0.1877540139913123,24,0.3960735708953451,32,5,0.001376815318517423,48,1,3
19,0.6332775703903538,COMPLETE,0.12737132820147967,24,0.4551851831178146,32,3,0.002434102094535711,16,1,3
20,0.6142511851979594,COMPLETE,0.3364881302341647,16,0.4710874456236817,32,7,0.0017852612460203148,48,1,3
21,0.631884403256585,COMPLETE,0.13918513780083006,24,0.3684568171487198,32,7,0.00264359587602977,48,1,3
22,0.6411426084567571,COMPLETE,0.13554058233623312,24,0.37597108865606244,32,7,0.0018411855559929255,48,1,3
23,0.6428035301138313,COMPLETE,0.10549365942715347,24,0.2844707023078049,32,7,0.0014688964255691924,48,1,3
24,0.6314604611540017,COMPLETE,0.14986612139637048,24,0.44077691807971114,32,7,0.0011135379790556173,48,1,3
25,0.6352471310923461,COMPLETE,0.1787853759589772,24,0.47740044086394595,32,7,0.0020949167035021624,48,1,3
26,0.6514197254675316,COMPLETE,0.22208828664081715,24,0.3577095229643279,32,7,0.0026011660816383244,16,1,3
27,0.6514140382709492,COMPLETE,0.12285654943122232,24,0.4043380614086287,32,7,0.0016633153811623216,48,1,3
28,0.6409951654813423,COMPLETE,0.1677261867359825,16,0.32671366897070864,32,5,0.0028879999091853074,48,1,3
29,0.6334557206714223,COMPLETE,0.12689065640169586,24,0.2589116945668427,32,3,0.0007760754931922744,48,1,2
